1,2,3,4,5,6,7
JT25_RS15495,70.0975,41.212,36.49,22.036,24.69,24.748
JT25_RS15500,90.58,59.566,60.248,44.698,48.4375,75.51
JT25_RS15505,120.9675,60.95,65.89,47.636,55.04,44.762
JT25_RS15510,35.135,32.114,44.87,30.5,34.255,44.134
JT25_RS15515,56.655,34.86,22.248,17.86,41.3675,19.504
JT25_RS15520,38.2775,25.288,39.802,44.538,53.265,41.062
JT25_RS15525,61.8775,35.314,62.708,35.044,52.9425,50.548
JT25_RS15530,48.565,49.298,41.096,34.566,32.755,35.586
JT25_RS15535,19.365,16.826,14.564,13.966,35.89,11.268
JT25_RS15540,26.42,20,19.268,11.98,16.33,8.942
JT25_RS15545,87.99,79.998,78.76,76.358,50.83,44.11
JT25_RS15550,32.0375,17.556,20.44,16.81,24.1375,11.7
JT25_RS15555,32.5325,22.778,18.256,16.088,35.055,18.362
JT25_RS15560,38.0375,47.206,59.208,38.518,56.34,42.828
JT25_RS15565,35.985,42.876,59.066,44.77,53.3825,39.946
JT25_RS15570,28.205,20.688,27.84,13.386,35.66,16.6
JT25_RS15575,50.9175,23.58,29.926,17.778,26.275,9.648
JT25_RS15580,84.325,58.67,42.39,32.55,53.475,11.236
JT25_RS15585,251.73,151.724,176.026,111.114,117.375,69.95
JT25_RS15590,71.9075,66.066,66.31,65.344,76.0725,54.164
JT25_RS15595,12.3,8.582,8.578,8.19,8.9225,7.33
JT25_RS15600,26.505,21.816,20.25,14.884,26.3525,11.936
JT25_RS15605,180.035,98.34,149.612,107.648,97.89,75.738
JT25_RS15610,8.69,6.84,15.616,9.904,20.08,18.472
JT25_RS15615,15.8025,20.066,18.3,13.826,20.1375,26.002
JT25_RS15620,69.1725,76.602,79.776,93.748,128.5625,48.528
JT25_RS15625,327.2875,244.09,311.448,293.954,165.065,180.77
JT25_RS15630,72.495,68.114,95.538,69.756,78.5025,73.368
JT25_RS15635,57.97,54.006,56.338,47.596,55.5875,81.134
JT25_RS15640,46.5175,44.34,42.184,33.52,38.4925,32.36
JT25_RS15645,47.5025,49.46,67.43,52.882,43.165,46.438
JT25_RS15650,36.43,33.336,35.864,29.356,29.4325,19.02
JT25_RS15655,21.435,24.228,20.06,17.94,19.6175,13.206
JT25_RS15665,41.8475,45.662,43.068,61.078,36.4125,17.024
JT25_RS15670,61.77,46.31,71.508,71.312,54.8775,62.096
JT25_RS15675,7.2925,6.886,8.424,6.344,5.7775,14.87
JT25_RS15680,4.79,4.82,7.352,6.646,34.7175,11.458
JT25_RS15690,14.2875,16.056,18.696,17.35,15.375,10.06
JT25_RS15695,6.23,5.882,7.412,9.132,265.46,9.33
JT25_RS15700,68.8275,71.694,76.086,68.91,57.68,39.068
JT25_RS15705,32.285,42.972,51.764,43.552,43.3,60.404
JT25_RS15710,67.9525,140.14,167.112,217.8,257.05,1739.346
JT25_RS15715,11.3275,14.734,11.14,11.33,24.07,12.512
JT25_RS15720,51.285,102.784,107.32,108.29,94.8475,183.638
JT25_RS15725,20.18,23.876,28.59,28.53,44.95,21.89
JT25_RS15730,51.8975,65.596,84.452,74.17,92.18,213.064
JT25_RS15735,157.19,215.374,195.47,152.28,103.7125,94.57
JT25_RS15740,89.935,98.984,94.69,66.392,49.74,22.802
JT25_RS15745,51.6,43.566,52.99,48.884,46.0875,35.328
JT25_RS15750,23.0625,27.168,31.502,31.028,39.68,36.626
JT25_RS15755,77.035,66.044,64.086,48.854,41.045,48.124
JT25_RS15760,73.465,63.55,57.576,36.852,31.9125,25.784
JT25_RS15765,76.31,47.288,52.276,31.078,23.8675,23.658
JT25_RS15770,257.43,183.644,267.332,111.57,91.0275,637.686
JT25_RS15775,167.285,136.938,119.138,70.778,53.8975,148.002
JT25_RS15780,67.29,61.6,49.248,49.36,61.9175,42.032
JT25_RS15785,146.48,157.236,144.768,117.426,105.8475,68.686
JT25_RS15790,149.11,246.202,231.264,190.702,175.5925,422.386
JT25_RS15795,60.3525,86.946,195.522,169.088,196.6375,723.218
JT25_RS15800,34.18,40.202,36.978,31.466,21.18,30.106
JT25_RS15805,19.945,25.48,23.726,15.952,15.2,9.602
